record_id,JIWA ID,Name,Domain,Country Code,End user,Partner,Vendor,Company Phone,Street,Street Cont.,City,State,Created,company_clean,domain_clean,phone_clean,address_clean,_id_str
a09a74841b7380108321311d0d4bcbc8,201417,Network Ten Pty Ltd,10play.com.au,AU,End User,,,'+61 2 9650 1010,1 Saunders Street,,Pyrmont,NSW,22/03/2020,network ten,10play.com.au,,1 Saunders Street Pyrmont NSW,network ten|10play.com.au
4e001eec1b8f6850d5d38738dc4bcbca,700087,Two Degrees Mobile Limited,2degrees.nz,NZ,,Partner,,'+6499196046,"Level 2, 136 Fanshawe Street",,Auckland Central,Auckland,19/03/2021,two degrees mobile,2degrees.nz,(649) 919-6046,"Level 2, 136 Fanshawe Street Auckland Central Auckland",two degrees mobile|2degrees.nz
9f2ad3e9c39a9a901a9c742a0501313d,211072,"A10 Networks, Inc.",a10networks.com,AU,End User,,Vendor,,2300 Orchard Parkway,,San Jose,CA,6/12/2024,a10 networks,a10networks.com,,2300 Orchard Parkway San Jose CA,a10 networks|a10networks.com
b9494d5e87551950852d0e170cbb3532,702191,THE NEW ZEALAND AUTOMOBILE ASSOCIATION LIMITED,aa.co.nz,NZ,End User,,,,Level 17 Aa Centre 99 Albert Street Auckland New Z,ealand 1010,auckland,,16/08/2022,new zealand automobile,aa.co.nz,,Level 17 Aa Centre 99 Albert Street Auckland New Z ealand 1010 auckland,new zealand automobile|aa.co.nz
a90b7c481b7380108321311d0d4bcbd8,203972,Yoogalu Pty Ltd,,AU,End User,,,,Locked Bag No 2,,Sydney,NSW,22/03/2020,yoogalu,,,Locked Bag No 2 Sydney NSW,yoogalu|
6d90b5051bef15d0b37020e6b04bcbb8,900188,"Accentrex Global Technologies, Inc.(SGP)",accentrex.com.ph,PH,End User,,,,"SPACE A, UNIT L24, PETRON MEGAPLAZA OFFICE","CONDOMINIUM BUILDING, 358","SEN. GIL PUYAT AVE, Makati Philippines",,2/12/2022,accentrex global technologies sgp,accentrex.com.ph,,"SPACE A, UNIT L24, PETRON MEGAPLAZA OFFICE CONDOMINIUM BUILDING, 358 SEN. GIL PUYAT AVE, Makati Philippines",accentrex global technologies sgp|accentrex.com.ph
dbd39ffe1b37a950b37020e6b04bcb3e,900417,Accenture Inc.,accenture.com,PH,,Partner,,,"Robinsons Cybergate Towers 1,","2 And 3, EDSA cor. Pioneer Street, ",Mandaluyong City,,7/07/2023,accenture,accenture.com,,"Robinsons Cybergate Towers 1, 2 And 3, EDSA cor. Pioneer Street, Mandaluyong City",accenture|accenture.com
f4da74081b7380108321311d0d4bcb37,203515,Actian Australia Pty Ltd,actian.com,AU,End User,,,,616 St Kilda Road,,Melbourne,VIC,22/03/2020,actian australia,actian.com,,616 St Kilda Road Melbourne VIC,actian australia|actian.com
22921dba1be30110d1f74119b04bcb38,900023,Asian Development Bank (ADB),adb.org,PH,End User,,,,,,,,23/05/2022,asian development bank adb,adb.org,,,asian development bank adb|adb.org
3a9ded441b7780108321311d0d4bcb43,205369,Australian Dental Council,adc.org.au,AU,End User,,,,Level 6/469 La Trobe St,,Melbourne,VIC,22/03/2020,australian dental council,adc.org.au,,Level 6/469 La Trobe St Melbourne VIC,australian dental council|adc.org.au
64da34081b7380108321311d0d4bcbc7,203352,ADCORP AUSTRALIA LIMITED,adcorp.com.au,AU,End User,,,,"Mitchell House, Level 2 Annex 358 Lonsda",,Melbourne,VIC,22/03/2020,adcorp australia,adcorp.com.au,,"Mitchell House, Level 2 Annex 358 Lonsda Melbourne VIC",adcorp australia|adcorp.com.au
